id	filename	md5	size	state
7c7b34ba-5b8c-480b-a481-043c67954078	TCGA-E2-A15A.3687AF42-4BB3-46E2-8091-E0C5C84F15E6.PDF	badda6e62721db8e21250fe13c93d3ad	212302	validated
b2266de0-1cf5-4cde-a859-4d10048d7768	TCGA-BH-A1F2.FA781D93-C180-4453-BF95-B2D01B6CDB5C.PDF	5895c10a1e7ca0f0a53c5474bcf5d6f3	84680	validated
e8583134-7529-4656-af68-db875b9f976c	TCGA-BH-A0C7.880F3DC6-4342-4232-A04E-A128F1A8201D.PDF	c662bc995e23a0916088c5333eab6ec3	107310	validated
c18c4d87-f439-4f0e-9d8b-8bd83f25104f	TCGA-V7-A7HQ.82B46073-10CE-4D05-9421-6308E3FAD1AD.PDF	513a892f769e7f1829c63bfbeceb64f5	444562	validated
18556c0d-4d42-4a6b-8ec0-7f7c7d7725ad	TCGA-E9-A244.4158FEAB-066B-4500-8FD2-3F197438DFB5.PDF	72b9e0ffbbf04a7c46fe7302e0e220d2	50833	validated
12a57008-3d42-401f-a10c-162b48748ec7	TCGA-E2-A15L.C04B3267-9833-44D6-8C3D-45D7F829C38C.PDF	752e0d3c41baa59f41f462453f0cefed	179924	validated
48a4a8f7-3053-45e2-a817-06c92197f9a7	TCGA-BH-A1F8.BAA6AA92-69C5-454B-A550-246E7DB1EBE3.PDF	1a8eea4f902fe170f687d777c3c570b1	64503	validated
d8786482-0edb-44ea-a907-96bb72378907	TCGA-E9-A1NE.CF6E29A2-FAE6-45BB-B625-33877887A89E.PDF	bfccbee649f304b6f742c2037e371b4c	46195	validated
765e9eea-672f-4151-9f20-5d72553e1180	TCGA-A8-A07C.DC5B662B-1ADD-4D6E-A6E3-3EF8B922BC71.PDF	bbdc69efd9fe2eb8592fdc668b8f56d8	46172	validated
dde0ae62-207d-4ab2-bff0-19d03a1e23a0	TCGA-BH-A0B1.BAEB6705-FCDC-4B40-B1CB-D926B8287F92.PDF	1e9330d94bfa761bba73b7ff867962a3	97206	validated
8058d317-d430-4555-be4e-799c889b533b	TCGA-E2-A15C.04FF2CF1-737B-4FD2-8A1D-F9B5488DE510.PDF	18b22296aae6d577fb0f049aec74fbc1	194662	validated
2ede69ac-3fe9-48ef-8653-b96bd4f28cab	TCGA-A2-A1G0.DA82E751-09C3-466E-A63A-38368D8A2C7C.PDF	0d55e4ec0e9b373e0b1dc889fde7160b	475399	validated
276bdb5c-ae10-4cf1-b476-2e6b140a3940	TCGA-E2-A1LG.08A790DE-B01D-4140-BB1C-B4844291D71E.PDF	d5a127ecf604dfbfe79f39b0a0749057	245097	validated
411d4b8f-378b-4e70-abac-157d37af4f08	TCGA-C8-A138.3584F6CE-F9ED-441C-8714-BDF67C141CD6.PDF	988a55aed28d54fe3577719d6ef271c3	206624	validated
3a0dfdff-6de0-4f9c-a954-46b0f0375cce	TCGA-S3-AA11.B6605B1A-264D-46EF-BB6F-AD5EBE1B34DB.PDF	0c80846a85663f099f0524ceb2bf5ced	644643	validated
652154cd-66d7-44f5-bad4-684953ab4f15	TCGA-GM-A5PX.E49FAC55-434A-429B-8E61-C5E0FBD7C15C.PDF	6f6849722585f0971230d8c94134da33	322940	validated
5035f64c-bf16-4a44-8e26-600ef3ac6548	TCGA-GM-A3NY.1659798C-9B6A-4DF9-A5B6-79AD2194DF11.PDF	deb8406ec317506dfaee389596b99e1e	222543	validated
